Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bolivia,67.0,93.0,99.0,127.0,80.0,92.0,110.0,124.0,133.0,157.0,176.0,222.0,238.0,237.0,236.0,245.0,227.0,272.0,284.0,309.0,314.0,288.0,358.0,401.0,492.0,543.0,564.0,563.0,655.0
Bosnia and Herzegovina,40.0,55.0,47.0,102.0,90.0,89.0,132.0,176.0,229.0,312.0,359.0,425.0,513.0,629.0,720.0,800.0,874.0,817.0,846.0,935.0,1008.0,1262.0,1354.0,1569.0,1788.0,2086.0,1991.0,2047.0,2124.0
Botswana,112.0,114.0,135.0,156.0,173.0,154.0,184.0,193.0,208.0,238.0,305.0,273.0,324.0,301.0,303.0,366.0,327.0,371.0,429.0,383.0,559.0,568.0,699.0,732.0,794.0,915.0,936.0,976.0,967.0
Bouvet Island,,,1.0,,,,,,,,,,,,,,,,0.0,,,,2.0,1.0,,3.0,0.0,,1.0
Brazil,9128.0,11283.0,12768.0,13732.0,15299.0,16424.0,18882.0,21003.0,23531.0,26389.0,33165.0,36258.0,41047.0,45198.0,48620.0,52495.0,57965.0,60754.0,64428.0,67099.0,70671.0,75371.0,80327.0,85694.0,92346.0,96692.0,88764.0,83191.0,86822.0
British Indian Ocean Territory,1.0,1.0,,,,1.0,,,,,,1.0,1.0,4.0,3.0,1.0,1.0,,,2.0,1.0,1.0,1.0,5.0,3.0,2.0,,0.0,4.0
Brunei Darussalam,51.0,49.0,60.0,57.0,55.0,48.0,40.0,59.0,69.0,61.0,82.0,78.0,92.0,98.0,106.0,139.0,205.0,250.0,343.0,409.0,482.0,481.0,536.0,554.0,706.0,799.0,1042.0,1252.0,1095.0
Bulgaria,2352.0,2275.0,2284.0,2280.0,2164.0,2189.0,2263.0,2483.0,2654.0,2977.0,2860.0,3544.0,3441.0,3943.0,3804.0,3640.0,3970.0,3987.0,4033.0,3933.0,4269.0,4887.0,5541.0,6620.0,7130.0,7502.0,7537.0,7901.0,8332.0
Burkina Faso,64.0,93.0,125.0,110.0,90.0,106.0,113.0,172.0,167.0,177.0,244.0,241.0,274.0,299.0,305.0,377.0,459.0,399.0,457.0,542.0,539.0,553.0,601.0,676.0,743.0,862.0,993.0,1023.0,1114.0
Burundi,24.0,29.0,10.0,17.0,5.0,7.0,4.0,13.0,11.0,11.0,14.0,21.0,10.0,13.0,35.0,30.0,34.0,37.0,42.0,51.0,51.0,56.0,86.0,88.0,128.0,121.0,131.0,126.0,158.0
Cambodia,10.0,14.0,15.0,27.0,26.0,30.0,47.0,53.0,83.0,83.0,106.0,143.0,136.0,168.0,181.0,190.0,226.0,246.0,277.0,330.0,395.0,403.0,464.0,490.0,541.0,576.0,662.0,616.0,659.0
Cameroon,181.0,216.0,216.0,207.0,220.0,247.0,293.0,360.0,401.0,467.0,577.0,601.0,627.0,692.0,733.0,828.0,864.0,1004.0,1118.0,1176.0,1298.0,1517.0,1629.0,1823.0,2192.0,2551.0,2721.0,2805.0,3160.0
Canada,42923.0,43074.0,42110.0,41605.0,43595.0,43099.0,47151.0,52015.0,57849.0,65232.0,69117.0,71012.0,73445.0,79076.0,81229.0,83289.0,87478.0,89780.0,91776.0,93709.0,95727.0,97585.0,101779.0,105483.0,110399.0,118359.0,117327.0,113049.0,117420.0
Cape Verde,2.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,12.0,6.0,8.0,15.0,15.0,6.0,16.0,29.0,35.0,36.0,35.0,47.0,38.0,51.0,71.0,76.0,85.0,85.0,92.0
Cayman Islands,4.0,4.0,3.0,3.0,2.0,6.0,5.0,5.0,6.0,9.0,14.0,6.0,18.0,23.0,17.0,33.0,17.0,13.0,17.0,16.0,15.0,18.0,27.0,25.0,29.0,38.0,32.0,36.0,44.0
Central African Republic,16.0,25.0,21.0,23.0,14.0,14.0,11.0,25.0,25.0,23.0,26.0,24.0,26.0,31.0,29.0,38.0,38.0,34.0,46.0,40.0,70.0,51.0,64.0,54.0,79.0,79.0,85.0,89.0,98.0
Chad,4.0,7.0,3.0,7.0,5.0,11.0,11.0,13.0,22.0,26.0,33.0,21.0,22.0,30.0,16.0,28.0,22.0,27.0,31.0,35.0,44.0,61.0,55.0,69.0,71.0,105.0,118.0,134.0,173.0
Chile,1778.0,1998.0,1927.0,2131.0,2260.0,2380.0,2912.0,3173.0,3511.0,3930.0,4812.0,5108.0,5799.0,6386.0,6778.0,7510.0,8396.0,8811.0,10397.0,11142.0,12618.0,12983.0,14494.0,15489.0,17779.0,19420.0,18258.0,18637.0,20014.0
China,30934.0,36237.0,42722.0,43380.0,51405.0,65423.0,68261.0,81037.0,116456.0,170228.0,199705.0,221352.0,258606.0,303877.0,335910.0,385093.0,410300.0,447782.0,478885.0,454446.0,491343.0,535374.0,594466.0,708055.0,790175.0,881698.0,1018973.0,1048739.0,1190419.0
